imagename,prediction,label,logits
1,0.0,0.0,-19.19223403930664
1001,0.0,0.0,-15.428387641906738
1003,0.0,0.0,-24.295948028564453
1005,0.0,0.0,-14.162630081176758
1007,0.0,0.0,-15.300087928771973
1009,1.0,0.0,1.8671965599060059
101,0.0,0.0,-30.69137954711914
1011,0.0,0.0,-14.479233741760254
1013,0.0,0.0,-18.372211456298828
1015,0.0,0.0,-0.9084610342979431
1017,0.0,0.0,-6.731395721435547
1019,0.0,0.0,-28.23957633972168
1021,0.0,0.0,-36.844444274902344
1023,0.0,0.0,-6.317258834838867
1025,0.0,0.0,-41.593536376953125
1027,0.0,0.0,-26.246826171875
1029,1.0,0.0,0.9924115538597107
103,0.0,0.0,-54.815826416015625
1031,0.0,0.0,-14.156208992004395
1033,0.0,0.0,-33.45741653442383
1035,0.0,0.0,-18.02857780456543
1037,0.0,0.0,-31.820940017700195
1039,0.0,0.0,-2.2640933990478516
1041,1.0,0.0,5.284063816070557
1043,0.0,0.0,-16.04426383972168
1045,0.0,0.0,-20.863142013549805
1047,0.0,0.0,-30.230134963989258
1049,0.0,0.0,-7.188176155090332
105,0.0,0.0,-15.019400596618652
1051,0.0,0.0,-2.799551248550415
1053,0.0,0.0,-0.56703120470047
1055,0.0,0.0,-18.056509017944336
1057,1.0,0.0,6.427562236785889
1059,0.0,0.0,-29.155181884765625
1061,0.0,0.0,-12.116727828979492
1063,0.0,0.0,-17.494598388671875
1065,0.0,0.0,-24.808639526367188
1067,0.0,0.0,-5.496391296386719
1069,0.0,0.0,-36.240997314453125
107,1.0,0.0,1.6460802555084229
1071,0.0,0.0,-15.2039213180542
1073,0.0,0.0,-3.1882503032684326
1075,0.0,0.0,-13.729938507080078
1077,0.0,0.0,-11.776375770568848
1079,0.0,0.0,-20.850797653198242
1081,0.0,0.0,-15.769623756408691
1083,0.0,0.0,-11.93174934387207
1085,0.0,0.0,-18.809297561645508
1087,1.0,0.0,4.949779033660889
1089,0.0,0.0,-24.11294937133789
109,0.0,0.0,-11.944239616394043
1091,0.0,0.0,-39.93718338012695
1093,0.0,0.0,-16.53765869140625
1095,0.0,0.0,-28.552391052246094
1097,1.0,0.0,1.5910089015960693
1099,0.0,0.0,-5.349218845367432
11,0.0,0.0,-25.75202178955078
1101,0.0,0.0,-24.2465763092041
1103,0.0,0.0,-17.804729461669922
1105,0.0,0.0,-10.264349937438965
1107,0.0,0.0,-10.915359497070312
1109,0.0,0.0,-9.192156791687012
111,0.0,0.0,-5.426482677459717
1111,0.0,0.0,-20.995643615722656
1113,0.0,0.0,-20.903522491455078
1115,0.0,0.0,-28.822185516357422
1117,0.0,0.0,-16.165576934814453
1119,0.0,0.0,-17.8951416015625
1121,0.0,0.0,-2.693516254425049
1123,0.0,0.0,-10.822134017944336
1125,0.0,0.0,-6.538403511047363
1127,0.0,0.0,-2.5313775539398193
1129,0.0,0.0,-22.781883239746094
113,0.0,0.0,-11.580074310302734
1131,0.0,0.0,-5.619298934936523
1133,1.0,0.0,5.455063343048096
1135,0.0,0.0,-4.281762599945068
1137,0.0,0.0,-44.00999069213867
1139,0.0,0.0,-14.287703514099121
1141,0.0,0.0,-8.6657133102417
1143,0.0,0.0,-10.825620651245117
1145,0.0,0.0,-24.342300415039062
1147,0.0,0.0,-8.366961479187012
1149,0.0,0.0,-25.26674461364746
115,0.0,0.0,-7.545382499694824
1151,0.0,0.0,-6.344381809234619
1153,0.0,0.0,-9.68443489074707
1155,0.0,0.0,-14.978067398071289
1157,0.0,0.0,-25.98410415649414
1159,0.0,0.0,-33.64247131347656
1161,1.0,0.0,5.052712917327881
1163,0.0,0.0,-46.17377853393555
1165,0.0,0.0,-5.1309685707092285
1167,0.0,0.0,-16.101106643676758
1169,0.0,0.0,-14.094853401184082
117,0.0,0.0,-12.02572250366211
1171,0.0,0.0,-32.159629821777344
1173,0.0,0.0,-19.890520095825195
1175,0.0,0.0,-16.693931579589844
1177,0.0,0.0,-12.706086158752441
1179,0.0,0.0,-33.29302215576172
1181,0.0,0.0,-23.4571475982666
1183,0.0,0.0,-11.560538291931152
1185,0.0,0.0,-8.509164810180664
1187,0.0,0.0,-3.02315354347229
1189,0.0,0.0,-20.01215362548828
119,0.0,0.0,-44.17088317871094
1191,0.0,0.0,-14.190085411071777
1193,0.0,0.0,-48.471317291259766
1195,0.0,0.0,-24.25519561767578
1197,0.0,0.0,-20.993244171142578
1199,1.0,0.0,3.8586816787719727
1201,0.0,0.0,-52.134117126464844
1203,0.0,0.0,-7.359393119812012
1205,0.0,0.0,-1.244292974472046
1207,0.0,0.0,-11.60734748840332
1209,0.0,0.0,-14.54296875
121,1.0,0.0,4.980958461761475
1211,0.0,0.0,-14.147491455078125
1213,0.0,0.0,-39.141090393066406
1215,0.0,0.0,-12.472281455993652
1217,0.0,0.0,-29.766538619995117
1219,0.0,0.0,-9.969585418701172
1221,0.0,0.0,-22.910228729248047
1223,0.0,0.0,-27.874719619750977
1225,0.0,0.0,-15.673070907592773
1227,0.0,0.0,-50.237220764160156
1229,0.0,0.0,-6.982525825500488
123,0.0,0.0,-13.834976196289062
1231,0.0,0.0,-17.57123374938965
1233,0.0,0.0,-32.67226791381836
1235,0.0,0.0,-18.993701934814453
1237,0.0,0.0,-10.784682273864746
1239,0.0,0.0,-33.275272369384766
1241,0.0,0.0,-4.099034309387207
1243,0.0,0.0,-6.9480977058410645
1245,0.0,0.0,-9.694714546203613
1247,0.0,0.0,-2.213752508163452
1249,0.0,0.0,-26.682113647460938
125,0.0,0.0,-12.409855842590332
1251,0.0,0.0,-14.951635360717773
1253,0.0,0.0,-21.181856155395508
1255,0.0,0.0,-8.332782745361328
1257,0.0,0.0,-26.604366302490234
1259,0.0,0.0,-18.106794357299805
1261,0.0,0.0,-11.917839050292969
1263,0.0,0.0,-17.07944679260254
1265,0.0,0.0,-16.88555335998535
1267,1.0,0.0,1.2648764848709106
1269,0.0,0.0,-30.885820388793945
127,0.0,0.0,-18.033397674560547
1271,0.0,0.0,-15.279082298278809
1273,0.0,0.0,-17.267288208007812
1275,0.0,0.0,-12.366167068481445
1277,1.0,0.0,4.641878604888916
1279,0.0,0.0,-9.094649314880371
1281,0.0,0.0,-11.923055648803711
1283,0.0,0.0,-21.474742889404297
1285,0.0,0.0,-15.141053199768066
1287,0.0,0.0,-16.454761505126953
1289,0.0,0.0,-3.694204568862915
129,0.0,0.0,-16.697031021118164
1291,0.0,0.0,-11.666372299194336
1293,0.0,0.0,-29.27821159362793
1295,0.0,0.0,-39.52659225463867
1297,0.0,0.0,-1.9351083040237427
1299,0.0,0.0,-14.514751434326172
13,0.0,0.0,-19.44724464416504
1301,0.0,0.0,-35.55284118652344
1303,0.0,0.0,-4.087057590484619
1305,0.0,0.0,-22.429645538330078
1307,0.0,0.0,-4.781678199768066
1309,1.0,0.0,5.53122615814209
131,0.0,0.0,-26.355220794677734
1311,0.0,0.0,-26.12795639038086
1313,0.0,0.0,-12.187013626098633
1315,0.0,0.0,-20.77568817138672
1317,0.0,0.0,-10.314142227172852
1319,0.0,0.0,-11.641525268554688
1321,0.0,0.0,-19.005491256713867
1323,0.0,0.0,-16.772005081176758
1325,0.0,0.0,-27.889080047607422
1327,0.0,0.0,-27.736312866210938
1329,0.0,0.0,-26.23151206970215
133,0.0,0.0,-14.478021621704102
1331,0.0,0.0,-1.5247483253479004
1333,0.0,0.0,-1.433091163635254
1335,0.0,0.0,-28.022945404052734
1337,0.0,0.0,-19.54555320739746
1339,1.0,0.0,3.72501802444458
1341,1.0,0.0,3.2208993434906006
1343,1.0,0.0,6.957867622375488
1345,0.0,0.0,-15.857850074768066
1347,0.0,0.0,-36.761009216308594
1349,0.0,0.0,-14.670027732849121
135,0.0,0.0,-17.863689422607422
1351,0.0,0.0,-7.039646625518799
1353,0.0,0.0,-30.083600997924805
1355,1.0,0.0,6.201307773590088
1357,0.0,0.0,-38.8691291809082
1359,0.0,0.0,-6.556293487548828
1361,0.0,0.0,-18.200563430786133
1363,0.0,0.0,-0.5734578967094421
1365,0.0,0.0,-23.26918601989746
1367,0.0,0.0,-14.823180198669434
1369,0.0,0.0,-14.923501968383789
137,0.0,0.0,-24.135318756103516
1371,0.0,0.0,-23.98538589477539
1373,0.0,0.0,-17.658977508544922
1375,0.0,0.0,-16.111164093017578
1377,0.0,0.0,-8.866205215454102
1379,0.0,0.0,-7.022492408752441
1381,0.0,0.0,-22.849123001098633
1383,0.0,0.0,-6.82897424697876
1385,0.0,0.0,-22.64971923828125
1387,0.0,0.0,-11.490742683410645
1389,0.0,0.0,-17.976701736450195
139,0.0,0.0,-4.222438812255859
1391,0.0,0.0,-11.939342498779297
1393,0.0,0.0,-17.982133865356445
1395,0.0,0.0,-13.08764362335205
1397,0.0,0.0,-3.3979272842407227
1399,0.0,0.0,-11.764749526977539
1401,0.0,0.0,-20.5096435546875
1403,0.0,0.0,-12.857550621032715
1405,0.0,0.0,-19.54700469970703
1407,0.0,0.0,-19.962284088134766
